register,datatype,access,display_code,table,line,description_excerpt
7107,ENUM8,,,Tab.46     Main cascade registers,1423,Puissance requise par le ges­        0: Automatique                        R tionnaire des consommateurs de       1: Chauffage la cascade : Demande de chauf­       2: Rafraîchissement fe                                  
7108,UINT8,,,Tab.46     Main cascade registers,1435,Cascata Ponto de definição de       1%                     0 - 100             R Potência do Sistema calculado: Potência
7109,INT16,,,Tab.46     Main cascade registers,1437,"Cascata Ponto de definição de       0,01 °C                -20 - 120           R Potência do Sistema calculado: Temperatura"
7110,ENUM8,,,Tab.46     Main cascade registers,1439,Cascada Consigna de potencia        0: Automático                               L del sistema calculada: Demanda      1: Calefacción de calor                            2: Refrigeración 3: Calor de proceso 4: Secado del 
7151,UINT32,R,NM112,Tab.46     Main cascade registers,1451,"Het gevraagde vermogen (kW)         0,1 kW                                        R           NM112 aan het cascadesysteem."
7155,INT16,R,NM170,Tab.46     Main cascade registers,1453,"Percentuale di potenza richiesta      0,1%                                         R           NM170 dalla cascata"
7157,ENUM8,R,NM166,Tab.46     Main cascade registers,1455,Stato della pompa primaria della      0: Non attivo                                R           NM166 cascata                               1: Attivato
7158,ENUM8,R,NM167,Tab.46     Main cascade registers,1457,Stato della pompa secondaria          0: Non attivo                                R           NM167 della cascata                         1: Attivato
7159,ENUM8,R,NM163,Tab.46     Main cascade registers,1459,"Stato della cascata                   Vedere la tabella se­                        R           NM163 guente Tab.267, pa­ gina 137"
7160,UINT32,R,NC000,Tab.46     Main cascade registers,1461,Heures de fonctionnement de la       1 heures                                         R          NC000 cascade utilisées pour le chauf­ fage.
7162,UINT32,R,NC001,Tab.46     Main cascade registers,1463,Heures de cascade utilisées          1 heures                                         R          NC001 pour l'eau chaude sanitaire
7163,INT16,,NM165,Tab.23     Flow and return temperature for single appliance and cascade,994,"Rücklauftemperatur Kaskade                                0,01 °C         -327,68 –        NM165 327,68 5.8       Heizkreis-Zuordnung"
7164,INT16,R,NM165,Tab.46     Main cascade registers,1465,"Temper. retorno medida en sis­   0,01 °C                     -327,68 - 327,68   L          NM165 tema en cascada en la botella de equilibrio (LLH) del lado secun­ dario"
7165,UINT8,,,Tab.46     Main cascade registers,1468,"Cascade, central primary pump      1                         0 - 14             R status - producer circuit of low loss header"
7166,UINT8,,,Tab.46     Main cascade registers,1471,"pwm signal after transfer function 0,1%                        0 - 100                R to control pcb-hardware for pump producer circuit"
7167,UINT8,,,Tab.46     Main cascade registers,1474,"pwm signal after transfer function 0,1%                        0 - 100                R to control pcb-hardware for pump consumer circuit"
7168,INT16,R,EM012,Tab.46     Main cascade registers,1477,"Temperatura di mandata della          0,01 °C                -327,68 - 327,68            R         EM012 cascata misurata sul lato secon­ dario del separatore idraulico (LLH)"
7169,INT16,R,EM013,Tab.46     Main cascade registers,1480,"Temper. retorno medida en sis­   0,01 °C                    -327,68 - 327,68        L           EM013 tema en cascada en la botella de equilibrio (LLH) del lado secun­ dario"
7200,UINT8,R/W,NP231,Tab.46     Main cascade registers,1491,L'ordine di attivazione dei gene­                            0 - 255                     R/W       NP231 ratori
7201,UINT8,,,Tab.46     Main cascade registers,1492,Liste des générateurs identifiés                               0 - 255                R/W dans le système en cascade : Numéro
7202,ENUM8,,,Tab.46     Main cascade registers,1494,Liste des générateurs identifiés     0: non connecté                                  R/W dans le système en cascade :         1: Disponible État                                 2: Non disponible
7203,UINT16,R/W,EP001,Tab.46     Main cascade registers,1497,La potenza minima che il gene­                                                           R/W       EP001 ratore può fornire. potenza bassa
7205,UINT16,R/W,EP086,Tab.46     Main cascade registers,1499,La potenza massima che il gene­                                                          R/W       EP086 ratore è in grado di fornire. Pieno carico
7207,UINT16,R,NM113,Tab.46     Main cascade registers,1501,Elenco dei generatori corrente­                              0 - 255                     R         NM113 mente attivi nell'impianto a ca­ scata
7208,UINT16,R,NM171,Tab.46     Main cascade registers,1503,Temporary poducer activation or­                             0 - 255                     R         NM171 der
7209,ENUM8,R,EM058,Tab.46     Main cascade registers,1505,"Stato principale attuale del gene­                           Vedere la tabella se­       R         EM058 ratore.                                                      guente Tab.267, pa­ gina 137"
7228,UINT32,R,EM228,Tab.46     Main cascade registers,1507,Serial number                         1                      0 - 4294967295           R           EM228 Tab.47     Appliance status 7209 Status           Description                   Explanation 0                Standby
9230,UINT16,R,HM031,Tab.12     Appliance registers,650,"Berekende onmiddellijke           0,001                         0–1                 R           HM031 COP"
9231,UINT16,R,HM032,Tab.12     Appliance registers,652,"Seuil du COP qui génère le        0,001                      0–1                  R           HM032 basculement entre la pompe à chaleur et la chaudière Tab.68    Champs de bits de 275"
