block,datatype,access,classification,context,description,sources
417,INT16,R,nur R laut Doku,Boiler(Appliance) (41),Internal heat demand - temperature Setpoint,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
418,UINT8,R,nur R laut Doku,Boiler(Appliance) (41),Internal heat demand - heatdemandType,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
453,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),current speed of the condenser pump,GTW-08-Modbus-parameterlijst_gap_report.md
454-455,UINT32,R,nur R laut Doku,Boiler(Appliance) (41),counter of the operating hours of the condenser pump (also called Hp Pump),GTW-08-Modbus-parameterlijst_gap_report.md
456,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),"the actual current of the ODU as measured by the ODU, is used in the ODU unit to protect against too high current",GTW-08-Modbus-parameterlijst_gap_report.md
457,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),"operation mode of the outdoor unit, in the current contrôle scheme onfle the HEAT(1) and COOL(2) modes are used, The current default is HEAT(1)",GTW-08-Modbus-parameterlijst_gap_report.md
458,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),system flow temperature setpoint including backups,GTW-08-Modbus-parameterlijst_gap_report.md
462,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),Instantaneous COP calculated by Hybrid application,GTW-08-Modbus-parameterlijst_gap_report.md
463,UINT16,R,nur R laut Doku,Boiler(Appliance) (41),COP threshold calculated by hybrid,GTW-08-Modbus-parameterlijst_gap_report.md
464,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid mode selected,GTW-08-Modbus-parameterlijst_gap_report.md
465,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid Electricity cost in high tarif,GTW-08-Modbus-parameterlijst_gap_report.md
466,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid Electricity cost in low tarif,GTW-08-Modbus-parameterlijst_gap_report.md
467,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),cost of ofssil energy (oil or gas) - piece per litre or peu m3,GTW-08-Modbus-parameterlijst_gap_report.md
468,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Electrical CO2 emission in heating mode,GTW-08-Modbus-parameterlijst_gap_report.md
469,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Electrical CO2 emission in DHW mode,GTW-08-Modbus-parameterlijst_gap_report.md
470,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Gas or Oil CO2 emission,GTW-08-Modbus-parameterlijst_gap_report.md
471,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Boiler in appliance efficiency,GTW-08-Modbus-parameterlijst_gap_report.md
472,UINT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),COP threshold above which heat pump is authorized to operate when hybrid mode is primary energy,GTW-08-Modbus-parameterlijst_gap_report.md
473,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Logic contact to take into account for Blocking input 1,GTW-08-Modbus-parameterlijst_gap_report.md
474,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Logic contact to take into account for Blocking input 2,GTW-08-Modbus-parameterlijst_gap_report.md
475,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Blocking input 2 setting,GTW-08-Modbus-parameterlijst_gap_report.md
476,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Function blocking input,GTW-08-Modbus-parameterlijst_gap_report.md
477,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Minimum heating time before Domestic Hot Water production,GTW-08-Modbus-parameterlijst_gap_report.md
478,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Maximum time allowed to produce Domestic Hot Water,GTW-08-Modbus-parameterlijst_gap_report.md
479,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Domestic Hot Water ECO or COMFORT setting,GTW-08-Modbus-parameterlijst_gap_report.md
480,ENUM8,R,nur R laut Doku,Boiler(Appliance) (41),Low Noise Mode state,GTW-08-Modbus-parameterlijst_gap_report.md
481,ENUM8,R,nur R laut Doku,Boiler(Appliance) (41),Heat Pump Defrost,GTW-08-Modbus-parameterlijst_gap_report.md
482,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Set the type of backup used in the heat pump.,GTW-08-Modbus-parameterlijst_gap_report.md
483,UINT8,R,nur R laut Doku,Boiler(Appliance) (41),Actual relative power produced for PDO output,GTW-08-Modbus-parameterlijst_gap_report.md
484,UINT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid Electricity cost in high tarif accurate,GTW-08-Modbus-parameterlijst_gap_report.md
485,UINT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),Hybrid Electricity cost in low tarif accurate,GTW-08-Modbus-parameterlijst_gap_report.md
486,UINT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),Cost of fossil energy (oil or gas) - price per liter or per m3 accurate,GTW-08-Modbus-parameterlijst_gap_report.md
487,INT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),Outside temperature level above which the backup operation is blocked for a standard heating mode,GTW-08-Modbus-parameterlijst_gap_report.md
488,UINT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),Delay for starting the next generator (backup stage) in central heating mode,GTW-08-Modbus-parameterlijst_gap_report.md
489,INT16,R/W,enthält W laut Doku,Boiler(Appliance) (41),Minimum oustide temperature below which Heat Pump is stopped,GTW-08-Modbus-parameterlijst_gap_report.md
490,ENUM8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Enabling Heat pump Silent mode,GTW-08-Modbus-parameterlijst_gap_report.md
491,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),Start time for low noise function,GTW-08-Modbus-parameterlijst_gap_report.md
492,UINT8,R/W,enthält W laut Doku,Boiler(Appliance) (41),stop time for low noise,GTW-08-Modbus-parameterlijst_gap_report.md
493-494,UINT32,R,nur R laut Doku,Boiler(Appliance) (41),Total amount of pump starts,GTW-08-Modbus-parameterlijst_gap_report.md
530,UINT16,R,nur R laut Doku,Service (13),Current error generic code,GTW-08-Modbus-parameterlijst_gap_report.md
540,UINT16,R,nur R laut Doku,Service (13),Code error of the device located on instance 5(CF System Discovery table Modbus Address 153),"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
541,ENUM8,R,nur R laut Doku,Service (13),Error gravity error of the device located on instance 5,GTW-08-Modbus-parameterlijst_gap_report.md
542,UINT16,R,nur R laut Doku,Service (13),Code error of the device located on instance 6(CF System Discovery table Modbus Address 159),"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
543,ENUM8,R,nur R laut Doku,Service (13),Error gravity error of the device located on instance 6,GTW-08-Modbus-parameterlijst_gap_report.md
544,UINT16,R,nur R laut Doku,Service (13),Code error of the device located on instance 7(CF System Discovery table Modbus Address 165),"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
545,ENUM8,R,nur R laut Doku,Service (13),Error gravity error of the device located on instance 7,GTW-08-Modbus-parameterlijst_gap_report.md
546,UINT16,R,nur R laut Doku,Service (13),Code error of the device located on instance 8(CF System Discovery table Modbus Address 171),"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
547,ENUM8,R,nur R laut Doku,Service (13),Error gravity error of the device located on instance 8,GTW-08-Modbus-parameterlijst_gap_report.md
548,UINT16,R,nur R laut Doku,Service (13),Code error of the device located on instance 9(CF System Discovery table Modbus Address 177),"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
549,ENUM8,R,nur R laut Doku,Service (13),Error gravity error of the device located on instance 9,GTW-08-Modbus-parameterlijst_gap_report.md
550,UINT16,R,nur R laut Doku,Service (13),Code error of the device located on instance 10(CF System Discovery table Modbus Address 183),"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
551,ENUM8,R,nur R laut Doku,Service (13),Error gravity error of the device located on instance 10,GTW-08-Modbus-parameterlijst_gap_report.md
642,6,R,nur R laut Doku,Zones X12 (36),3202,GTW-08-Modbus-parameterlijst_gap_report.md
643,VISIBLE_STRING,R,nur R laut Doku,3.3 Ungültige Werte,"parZoneFriendlyNameShort Byte 2 parZoneFriendlyNameShort Byte 3 Kreisbezeichnung kurz Read VISIBLE_STRING InternalVariable ""DHW""",Modbus_GTW-08_Liste_der_Parameter_gap_report.md
646,1,R,nur R laut Doku,Zones X12 (36),3206,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
689,20,,nur R laut Doku,Zones X12 (36),3249,GTW-08-Modbus-parameterlijst_gap_report.md
693,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramMonday1 Byte 8 parZoneTimeProgramMonday1 Byte 9 Read/Write OCTET_STRING 3431.n 363E.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
699,20,R,nur R laut Doku,Zones X12 (36),3259,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
709,20,,nur R laut Doku,Zones X12 (36),3269,GTW-08-Modbus-parameterlijst_gap_report.md
713,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramWednesday1 Byte 8 parZoneTimeProgramWednesday1 Byte 9 Read/Write OCTET_STRING 3433.n 3640.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
719,20,,nur R laut Doku,Zones X12 (36),3279,GTW-08-Modbus-parameterlijst_gap_report.md
723,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramThursday1 Byte 8 parZoneTimeProgramThursday1 Byte 9 Read/Write OCTET_STRING 3434.n 3641.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
729,20,,nur R laut Doku,Zones X12 (36),3289,GTW-08-Modbus-parameterlijst_gap_report.md
733,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramFriday1 Byte 8 parZoneTimeProgramFriday1 Byte 9 Read/Write OCTET_STRING 3435.n 3642.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
739,20,,nur R laut Doku,Zones X12 (36),3299,GTW-08-Modbus-parameterlijst_gap_report.md
743,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSaturday1 Byte 8 parZoneTimeProgramSaturday1 Byte 9 Read/Write OCTET_STRING 3436.n 3643.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
749,20,,nur R laut Doku,Zones X12 (36),3309,GTW-08-Modbus-parameterlijst_gap_report.md
751,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSunday1 Byte 4 parZoneTimeProgramSunday1 Byte 5 Read/Write OCTET_STRING 3437.n 3644.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
759,20,,nur R laut Doku,Zones X12 (36),3319,GTW-08-Modbus-parameterlijst_gap_report.md
763,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramMonday2 Byte 8 parZoneTimeProgramMonday2 Byte 9 Read/Write OCTET_STRING 3438.n 3645.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
769,20,,nur R laut Doku,Zones X12 (36),3329,GTW-08-Modbus-parameterlijst_gap_report.md
773,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramTuesday2 Byte 8 parZoneTimeProgramTuesday2 Byte 9 Read/Write OCTET_STRING 3439.n 3646.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
779,20,,nur R laut Doku,Zones X12 (36),3339,GTW-08-Modbus-parameterlijst_gap_report.md
780,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramWednesday2 Byte 2 parZoneTimeProgramWednesday2 Byte 3 Read/Write OCTET_STRING 343A.n 3647.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
789,20,,nur R laut Doku,Zones X12 (36),3349,GTW-08-Modbus-parameterlijst_gap_report.md
793,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramThursday2 Byte 8 parZoneTimeProgramThursday2 Byte 9 Read/Write OCTET_STRING 343B.n 3648.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
799,20,,nur R laut Doku,Zones X12 (36),3359,GTW-08-Modbus-parameterlijst_gap_report.md
803,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramFriday2 Byte 8 parZoneTimeProgramFriday2 Byte 9 Read/Write OCTET_STRING 343C.n 3649.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
809,20,,nur R laut Doku,Zones X12 (36),3369,GTW-08-Modbus-parameterlijst_gap_report.md
813,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSaturday2 Byte 8 parZoneTimeProgramSaturday2 Byte 9 Read/Write OCTET_STRING 343D.n 364A.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
819,20,,nur R laut Doku,Zones X12 (36),3379,GTW-08-Modbus-parameterlijst_gap_report.md
823,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSunday2 Byte 8 parZoneTimeProgramSunday2 Byte 9 Read/Write OCTET_STRING 343E.n 364B.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
829-830,20,,nur R laut Doku,Zones X12 (36),3389,GTW-08-Modbus-parameterlijst_gap_report.md
832,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramMonday3 Byte 6 parZoneTimeProgramMonday3 Byte 7 Zeitprogramm 3 Read/Write OCTET_STRING 343F.n 364C.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
839,20,,nur R laut Doku,Zones X12 (36),3399,GTW-08-Modbus-parameterlijst_gap_report.md
843,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramTuesday3 Byte 8 parZoneTimeProgramTuesday3 Byte 9 Read/Write OCTET_STRING 3440.n 364D.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
849,20,,nur R laut Doku,Zones X12 (36),3409,GTW-08-Modbus-parameterlijst_gap_report.md
853,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramWednesday3Byte 8 parZoneTimeProgramWednesday3Byte 9 Read/Write OCTET_STRING 3441.n 364E.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
859,20,,nur R laut Doku,Zones X12 (36),3419,GTW-08-Modbus-parameterlijst_gap_report.md
860,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramThursday3 Byte 2 parZoneTimeProgramThursday3 Byte 3 Read/Write OCTET_STRING 3442.n 364F.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
869,20,,nur R laut Doku,Zones X12 (36),3429,GTW-08-Modbus-parameterlijst_gap_report.md
873,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramFriday3Byte 8 parZoneTimeProgramFriday3Byte 9 Read/Write OCTET_STRING 3443.n 3650.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
879,20,,nur R laut Doku,Zones X12 (36),3439,GTW-08-Modbus-parameterlijst_gap_report.md
883,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSaturday3 Byte 8 parZoneTimeProgramSaturday3 Byte 9 Read/Write OCTET_STRING 3444.n 3651.n,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
889,20,R,nur R laut Doku,Zones X12 (36),3449,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
899-900,20,,nur R laut Doku,Zones X12 (36),3459,GTW-08-Modbus-parameterlijst_gap_report.md
903,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramMonday4 Byte 8 parZoneTimeProgramMonday4 Byte 9 Read/Write OCTET_STRING 3446.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
909,20,,nur R laut Doku,Zones X12 (36),3469,GTW-08-Modbus-parameterlijst_gap_report.md
912,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramTuesday4 Byte 6 parZoneTimeProgramTuesday4 Byte 7 Read/Write OCTET_STRING 3447.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
919,20,,nur R laut Doku,Zones X12 (36),3479,GTW-08-Modbus-parameterlijst_gap_report.md
923,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramWednesday4Byte 8 parZoneTimeProgramWednesday4Byte 9 Read/Write OCTET_STRING 3448.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
929,20,,nur R laut Doku,Zones X12 (36),3489,GTW-08-Modbus-parameterlijst_gap_report.md
933,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramThursday4 Byte 8 parZoneTimeProgramThursday4 Byte 9 Read/Write OCTET_STRING 3449.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
939,20,,nur R laut Doku,Zones X12 (36),3499,GTW-08-Modbus-parameterlijst_gap_report.md
941,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramFriday4Byte 4 parZoneTimeProgramFriday4Byte 5 Read/Write OCTET_STRING 344A.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
949,20,,nur R laut Doku,Zones X12 (36),3509,GTW-08-Modbus-parameterlijst_gap_report.md
953,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSaturday4 Byte 8 parZoneTimeProgramSaturday4 Byte 9 Read/Write OCTET_STRING 344B.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
959,20,,nur R laut Doku,Zones X12 (36),3519,GTW-08-Modbus-parameterlijst_gap_report.md
963,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneTimeProgramSunday4Byte 8 parZoneTimeProgramSunday4Byte 9 Read/Write OCTET_STRING 344C.n Not Available,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
971,6,R,nur R laut Doku,Zones X12 (36),3531,GTW-08-Modbus-parameterlijst_gap_report.md
972,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneStartTimeHoliday Byte 2 parZoneStartTimeHoliday Byte 3 Startzeit Ferienbetrieb Read/Write OCTET_STRING 3421.n 365E.n ZeitStempel CIA,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
974,6,R,nur R laut Doku,Zones X12 (36),3534,GTW-08-Modbus-parameterlijst_gap_report.md
975,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneEndTimeHoliday Byte 2 parZoneEndTimeHoliday Byte 3 Endzeit Ferienbetrieb Read/Write OCTET_STRING 3422.n 365F.n ZeitStempel,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
978,6,R,nur R laut Doku,Zones X12 (36),3538,GTW-08-Modbus-parameterlijst_gap_report.md
979,OCTET_STRING,R,nur R laut Doku,3.3 Ungültige Werte,parZoneEndTimeModeChange Byte 2 parZoneEndTimeModeChange Byte 3 Modusänderung Read/Write OCTET_STRING 3423.n 3660.n ZeitStempel CIA,Modbus_GTW-08_Liste_der_Parameter_gap_report.md
981,2,"0,01°C",nur R laut Doku,Zones X12 (36),CP280 to CP289,GTW-08-Modbus-parameterlijst_gap_report.md
1119,2,"0,01°C",nur R laut Doku,Zones X12 (36),CM040 to CM049 or DM001,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
1120,2,"0,01°C",nur R laut Doku,Zones X12 (36),CM250 to CM259 or DM006,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7000,UINT8,R,nur R laut Doku,Cascade (110),Appliance Number on cascade:,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7001,ENUM8,R/W,enthält W laut Doku,Cascade (110),Mode on cascade,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7002,ENUM8,R/W,enthält W laut Doku,Cascade (110),Type of Cascade : Traditional or PARALLEL,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7003,UINT8,R/W,enthält W laut Doku,Cascade (110),This parameter is used to set the master boiler.,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7004,UINT8,R/W,enthält W laut Doku,Cascade (110),Time delay for starting up or shutting down producers,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7005,INT16,R/W,enthält W laut Doku,Cascade (110),Outside temperature triggering all stages in parallel mode,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7006,INT16,R/W,enthält W laut Doku,Cascade (110),Outside temperature triggering all stages in parallel mode,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7007,UINT8,R/W,enthält W laut Doku,Cascade (110),Rise Time to Acheive Setpoint,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7008,ENUM8,R/W,enthält W laut Doku,Cascade (110),"Enabled the master functionnality of this device one the S-Bus, If multople devices have this parameter all will be reset to 0 automatically,",GTW-08-Modbus-parameterlijst_gap_report.md
7009,ENUM8,R/W,enthält W laut Doku,Cascade (110),"choice of cascade algorithm type, power or temperature","GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7010,UINT16,R/W,enthält W laut Doku,Cascade (110),The maximum flow temperature the système is allowed to produce,GTW-08-Modbus-parameterlijst_gap_report.md
7011,ENUM8,R/W,enthält W laut Doku,Cascade (110),"the type of start order permutation, to determine which producer to start first","GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7012-7013,UINT16,R/W,enthält W laut Doku,Cascade (110),The time that needs to be elapsed before switching the appliance order,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7014,ENUM8,R/W,enthält W laut Doku,Cascade (110),Switching strategy for power control of the cascade.,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7015,UINT8,R/W,enthält W laut Doku,Cascade (110),The preferred appliance for CH heat production,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7016,UINT8,R/W,enthält W laut Doku,Cascade (110),The non-preferred appliance for CH heat production,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7017,UINT8,R/W,enthält W laut Doku,Cascade (110),The power percentage for the late on strategy for activating the next appliance,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7018,UINT8,R/W,enthält W laut Doku,Cascade (110),The power percentage for the late off strategy for deactivating the last appliance,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7019,UINT8,R/W,enthält W laut Doku,Cascade (110),The power percentage for the early on strategy for activating the next appliance,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7020,UINT8,R/W,enthält W laut Doku,Cascade (110),The power percentage for the early off strategy for deactivating the last appliance,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7021,UINT8,R/W,enthält W laut Doku,Cascade (110),Minimum duration of post-operation of the generator pump,GTW-08-Modbus-parameterlijst_gap_report.md
7022,ENUM8,R/W,enthält W laut Doku,Cascade (110),Force Primary Pump to Stop,GTW-08-Modbus-parameterlijst_gap_report.md
7023,ENUM8,R/W,enthält W laut Doku,Cascade (110),The type of primary pump,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7024,ENUM8,R/W,enthält W laut Doku,Cascade (110),The type of secondary pump,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7100,UINT8,R,nur R laut Doku,Cascade (110),Producer Active Number,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7102,UINT8,R,nur R laut Doku,Cascade (110),Number of Producers recognised in the cascade,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7103,UINT8,R,nur R laut Doku,Cascade (110),Number of stages available on the Casacde,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7104,UINT8,R,nur R laut Doku,Cascade (110),Number of stages required on the Casacde,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7105,UINT8,R,nur R laut Doku,Cascade (110),Cascade power request by the consumer manager - Power,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7106,INT16,R,nur R laut Doku,Cascade (110),Cascade power request by the consumer manager - - temperature Setpoint,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7107,ENUM8,R,nur R laut Doku,Cascade (110),Cascade power request by the consumer manager - heatdemandType,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7108,UINT8,R,nur R laut Doku,Cascade (110),Cascade System Power Setpoint Calculated - Power,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7109,INT16,R,nur R laut Doku,Cascade (110),Cascade System Power Setpoint Calculated - temperature Setpoint,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7110,ENUM8,R,nur R laut Doku,Cascade (110),Cascade System Power Setpoint Calculated - heatdemandType,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7111,UINT8,R,nur R laut Doku,Cascade (110),Actual power output of Appliance 1,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7112,INT16,R,nur R laut Doku,Cascade (110),Appliance 1 Flow Temperature,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7113,UINT8,R,nur R laut Doku,Cascade (110),Appliance 1 Status,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
