block,datatype,access,classification,context,description,sources
7208,UINT16,R,nur R laut Doku,Cascade (110),The temporary stored permutation order,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7209,ENUM8,R,nur R laut Doku,Cascade (110),The status of all producers found on the S-Bus,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7210,UINT8,R,nur R laut Doku,Cascade (110),The generic error codes of all producers found on the S-Bus,GTW-08-Modbus-parameterlijst_gap_report.md
7211-7212,UINT32,R,nur R laut Doku,Cascade (110),Matrix describing the error priority and the error custom code per brand,GTW-08-Modbus-parameterlijst_gap_report.md
7213,INT16,R,nur R laut Doku,Cascade (110),Flow temperature of appliance. The temperature of the water leaving the appliance.,GTW-08-Modbus-parameterlijst_gap_report.md
7214,INT16,R,nur R laut Doku,Cascade (110),The return temperature of an appliance in the cascade system,GTW-08-Modbus-parameterlijst_gap_report.md
7215,INT16,R,nur R laut Doku,Cascade (110),The heat exchanger temperature of an appliance in the cascade system,GTW-08-Modbus-parameterlijst_gap_report.md
7216,INT16,R,nur R laut Doku,Cascade (110),The flu gas temperature of an appliance in the cascade system,GTW-08-Modbus-parameterlijst_gap_report.md
7217,ENUM8,R,nur R laut Doku,Cascade (110),Current or upcoming service notification,GTW-08-Modbus-parameterlijst_gap_report.md
7218,UINT8,R,nur R laut Doku,Cascade (110),The water pressure of an appliance in the cascade system,GTW-08-Modbus-parameterlijst_gap_report.md
7219,INT16,R,nur R laut Doku,Cascade (110),The 2nd return temperature of an appliance in the cascade system,GTW-08-Modbus-parameterlijst_gap_report.md
7220,UINT16,R,nur R laut Doku,Cascade (110),The current pump speed,GTW-08-Modbus-parameterlijst_gap_report.md
7221,UINT16,R,nur R laut Doku,Cascade (110),Actual relative power of the appliance,GTW-08-Modbus-parameterlijst_gap_report.md
7222-7223,UINT32,R,nur R laut Doku,Cascade (110),Total number of burner hours. For heating and domestic hot water,GTW-08-Modbus-parameterlijst_gap_report.md
7224-7225,UINT32,R,nur R laut Doku,Cascade (110),Number of burner hours for Domestic Hot Water,GTW-08-Modbus-parameterlijst_gap_report.md
7226,UINT8,R,nur R laut Doku,Cascade (110),Producer order listed with node id's,GTW-08-Modbus-parameterlijst_gap_report.md
7227,UINT16,R,nur R laut Doku,Cascade (110),The type of appliance in the cascade system,GTW-08-Modbus-parameterlijst_gap_report.md
7228-7229,UINT32,R/W,enthält W laut Doku,Cascade (110),The serial number of an appliance in the cascade system,"GTW-08-Modbus-parameterlijst_gap_report.md, GTW-08_ModBus-Spec_gap_report.md"
7500,INT16,R/W,enthält W laut Doku,BufferTank (22),Hysteresis to start buffer loading,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7501,INT16,R/W,enthält W laut Doku,BufferTank (22),Hysteresis to stop buffer tank loading,"GTW-08-Modbus-parameterlijst_gap_report.md, Modbus_GTW-08_Liste_der_Parameter_gap_report.md"
7502,UINT8,R/W,enthält W laut Doku,BufferTank (22),Minimum duration of post-operation of the buffer tank pump,GTW-08-Modbus-parameterlijst_gap_report.md
